analysis_record_id,outcome,analysis_role,report_id,cohort_id,study_label,smd,standard_error,reported_case_n,reported_comparator_n,selection_status,selection_rule,source_meta_record_id,source_location,notes
ALPHA-IN-001,Shannon,primary_cohort_deduplicated,RPT0001,COH0001,Duan et al. 2019,-2.3101109093470016,0.34078086679650654,75,14,retained_primary_model_input,independent cohort-family contribution retained,META001,"FILE0001, PDF page 18, Extended Data Figure 1b",Full-precision frozen SMD and standard error; no re-digitisation.
ALPHA-IN-002,Shannon,primary_cohort_deduplicated,RPT0015,COH0005,Eom et al. 2023,-0.4831198372895665,0.2034233625709093,61,42,primary_NCT04339725_representative,"Eom retained consistently for the NCT04339725 family by outcome coverage, explicit comparison size and report consistency; effect magnitude not used",META002,"FILE0032, PDF page 6, Figure 2e",Full-precision frozen SMD and standard error; no re-digitisation.
ALPHA-IN-003,Shannon,replacement_sensitivity,RPT0011,COH0005,Ganesan et al. 2024,-0.6126462935882026,0.21014822327535518,53 metagenomics subset,43 metagenomics subset,replacement_report_only,"Eom retained consistently for the NCT04339725 family by outcome coverage, explicit comparison size and report consistency; effect magnitude not used",META003,"FILE0028, PDF page 5, Figure 1D",Ganesan is excluded from concurrent pooling and used only to replace Eom in the shared-outcome sensitivity model.
ALPHA-IN-004,Shannon,primary_cohort_deduplicated,RPT0008,COH0004,Hasan et al. 2023,0.15819107751343994,0.5008891247134624,12,6,retained_primary_model_input,independent cohort-family contribution retained,META004,"FILE0022, PDF page 4, Figure 1A-C; FILE0024 supporting PDF",Full-precision frozen SMD and standard error; no re-digitisation.
ALPHA-IN-005,Shannon,primary_cohort_deduplicated,RPT0007,COH0003,Kim et al. 2021,-1.1478277160554917,0.31692814113949963,24 enrolled,24 enrolled; frozen model uses 23,retained_primary_model_input,independent cohort-family contribution retained,META005,"FILE0021, PDF page 5, Figure 2A-B; FILE0014, Supplementary Table 1",Full-precision frozen SMD and standard error; no re-digitisation.
ALPHA-IN-006,Shannon,primary_cohort_deduplicated,RPT0004,COH0002,Smirnova et al. 2020,-0.7747895050457017,0.30024260334464065,24 severe AH,24 healthy controls,retained_primary_model_input,independent cohort-family contribution retained,META006,"FILE0005, PDF page 8, Figure 2A",Full-precision frozen SMD and standard error; no re-digitisation.
ALPHA-IN-007,Observed OTUs/ACE,primary_cohort_deduplicated,RPT0015,COH0005,Eom et al. 2023,-0.5730110307627845,0.2045977837962851,61,42,primary_NCT04339725_representative,"Eom retained consistently for the NCT04339725 family by outcome coverage, explicit comparison size and report consistency; effect magnitude not used",META007,"FILE0032, PDF page 6, Figure 2e",Full-precision frozen SMD and standard error; no re-digitisation.
ALPHA-IN-008,Observed OTUs/ACE,replacement_sensitivity,RPT0011,COH0005,Ganesan et al. 2024,-0.3670188325467794,0.20701531805959308,53 metagenomics subset,43 metagenomics subset,replacement_report_only,"Eom retained consistently for the NCT04339725 family by outcome coverage, explicit comparison size and report consistency; effect magnitude not used",META008,"FILE0028, PDF page 5, Figure 1D",Ganesan is excluded from concurrent pooling and used only to replace Eom in the shared-outcome sensitivity model.
ALPHA-IN-009,Observed OTUs/ACE,primary_cohort_deduplicated,RPT0007,COH0003,Kim et al. 2021,-0.8989637388748016,0.30745530043463437,24 enrolled,24 enrolled; frozen model uses 23,retained_primary_model_input,independent cohort-family contribution retained,META009,"FILE0021, PDF page 5, Figure 2A-B; FILE0014, Supplementary Table 1",Full-precision frozen SMD and standard error; no re-digitisation.
ALPHA-IN-010,Chao1,primary_cohort_deduplicated,RPT0001,COH0001,Duan et al. 2019,-3.812312506494086,0.412545887587726,75,14,retained_primary_model_input,independent cohort-family contribution retained,META010,"FILE0001, PDF page 18, Extended Data Figure 1b",Full-precision frozen SMD and standard error; no re-digitisation.
ALPHA-IN-011,Chao1,primary_cohort_deduplicated,RPT0015,COH0005,Eom et al. 2023,-0.5360617502903956,0.20409167454317942,61,42,primary_NCT04339725_representative,"Eom retained consistently for the NCT04339725 family by outcome coverage, explicit comparison size and report consistency; effect magnitude not used",META011,"FILE0032, PDF page 6, Figure 2e",Full-precision frozen SMD and standard error; no re-digitisation.
ALPHA-IN-012,Chao1,primary_cohort_deduplicated,RPT0008,COH0004,Hasan et al. 2023,-2.0585891886824337,0.6330116506987439,12,6,retained_primary_model_input,independent cohort-family contribution retained,META012,"FILE0022, PDF page 4, Figure 1A-C; FILE0024 supporting PDF",Full-precision frozen SMD and standard error; no re-digitisation.
ALPHA-IN-013,Simpson,primary_cohort_deduplicated,RPT0001,COH0001,Duan et al. 2019,1.0047390369287406,0.3011576903325112,75,14,retained_primary_model_input,independent cohort-family contribution retained,META013,"FILE0001, PDF page 18, Extended Data Figure 1b",Full-precision frozen SMD and standard error; no re-digitisation.
ALPHA-IN-014,Simpson,primary_cohort_deduplicated,RPT0008,COH0004,Hasan et al. 2023,1.1444097780875548,0.5445865012394574,12,6,retained_primary_model_input,independent cohort-family contribution retained,META014,"FILE0022, PDF page 4, Figure 1A-C; FILE0024 supporting PDF",Full-precision frozen SMD and standard error; no re-digitisation.
