meta_record_id,outcome,report_id,cohort_id,case_group,comparator_group,source_value_type,source_location,reported_case_n,reported_comparator_n,in_frozen_model,frozen_effect_size,frozen_standard_error,membership_supported,cohort_independence_status,verification_pass_status,notes
META001,Shannon,RPT0001,COH0001,AH,healthy controls,group_mean_sd,"FILE0001, PDF page 18, Extended Data Figure 1b",75,14,yes,-2.3101109093470016,0.34078086679650654,yes_comparison_metric_and_figure_confirmed,direct_comparator_cohort_family,source_report_metric_comparator_and_panel_verified,"Duan et al. 2019. Study-level record stored in the frozen RevMan 5.4.1 outcome. Frozen numerical inputs were preserved; the report, comparator, metric and source panel were checked without re-digitising or recalculating the model."
META002,Shannon,RPT0015,COH0005,AH,healthy controls,group_mean_sd,"FILE0032, PDF page 6, Figure 2e",61,42,yes,-0.4831198372895665,0.2034233625709093,yes_comparison_metric_and_figure_confirmed,same_NCT04339725_cohort_family_as_RPT0011; exact_participant_overlap_unresolved,source_report_metric_comparator_and_panel_verified,"Eom et al. 2023. Study-level record stored in the frozen RevMan 5.4.1 outcome. Frozen numerical inputs were preserved; the report, comparator, metric and source panel were checked without re-digitising or recalculating the model."
META003,Shannon,RPT0011,COH0005,AH,healthy controls,group_mean_sd,"FILE0028, PDF page 5, Figure 1D",53 metagenomics subset,43 metagenomics subset,yes,-0.6126462935882026,0.21014822327535518,yes_comparison_metric_and_figure_confirmed,same_NCT04339725_cohort_family_as_RPT0015; exact_participant_overlap_unresolved,source_report_metric_comparator_and_panel_verified,"Ganesan et al. 2024. Study-level record stored in the frozen RevMan 5.4.1 outcome. Frozen numerical inputs were preserved; the report, comparator, metric and source panel were checked without re-digitising or recalculating the model."
META004,Shannon,RPT0008,COH0004,AH,healthy controls,group_mean_sd,"FILE0022, PDF page 4, Figure 1A-C; FILE0024 supporting PDF",12,6,yes,0.15819107751343994,0.5008891247134624,yes_comparison_metric_and_figure_confirmed,direct_comparator_cohort_family,source_report_metric_comparator_and_panel_verified,"Hasan et al. 2023. Study-level record stored in the frozen RevMan 5.4.1 outcome. Frozen numerical inputs were preserved; the report, comparator, metric and source panel were checked without re-digitising or recalculating the model."
META005,Shannon,RPT0007,COH0003,AH,healthy controls,group_mean_sd,"FILE0021, PDF page 5, Figure 2A-B; FILE0014, Supplementary Table 1",24 enrolled,24 enrolled; frozen model uses 23,yes,-1.1478277160554917,0.31692814113949963,yes_comparison_metric_and_figure_confirmed,direct_comparator_cohort_family,source_report_metric_comparator_and_panel_verified,"Kim et al. 2021. Study-level record stored in the frozen RevMan 5.4.1 outcome. Frozen numerical inputs were preserved; the report, comparator, metric and source panel were checked without re-digitising or recalculating the model."
META006,Shannon,RPT0004,COH0002,AH,healthy controls,group_mean_sd,"FILE0005, PDF page 8, Figure 2A",24 severe AH,24 healthy controls,yes,-0.7747895050457017,0.30024260334464065,yes_comparison_metric_and_figure_confirmed,direct_comparator_cohort_family,source_report_metric_comparator_and_panel_verified,"Smirnova et al. 2020. Study-level record stored in the frozen RevMan 5.4.1 outcome. Frozen numerical inputs were preserved; the report, comparator, metric and source panel were checked without re-digitising or recalculating the model."
META007,Observed OTUs/ACE,RPT0015,COH0005,AH,healthy controls,group_mean_sd,"FILE0032, PDF page 6, Figure 2e",61,42,yes,-0.5730110307627845,0.2045977837962851,yes_comparison_metric_and_figure_confirmed,same_NCT04339725_cohort_family_as_RPT0011; exact_participant_overlap_unresolved,source_report_metric_comparator_and_panel_verified,"Eom et al. 2023. Study-level record stored in the frozen RevMan 5.4.1 outcome. Frozen numerical inputs were preserved; the report, comparator, metric and source panel were checked without re-digitising or recalculating the model."
META008,Observed OTUs/ACE,RPT0011,COH0005,AH,healthy controls,group_mean_sd,"FILE0028, PDF page 5, Figure 1D",53 metagenomics subset,43 metagenomics subset,yes,-0.3670188325467794,0.20701531805959308,yes_comparison_metric_and_figure_confirmed,same_NCT04339725_cohort_family_as_RPT0015; exact_participant_overlap_unresolved,source_report_metric_comparator_and_panel_verified,"Ganesan et al. 2024. Study-level record stored in the frozen RevMan 5.4.1 outcome. Frozen numerical inputs were preserved; the report, comparator, metric and source panel were checked without re-digitising or recalculating the model."
META009,Observed OTUs/ACE,RPT0007,COH0003,AH,healthy controls,group_mean_sd,"FILE0021, PDF page 5, Figure 2A-B; FILE0014, Supplementary Table 1",24 enrolled,24 enrolled; frozen model uses 23,yes,-0.8989637388748016,0.30745530043463437,yes_comparison_metric_and_figure_confirmed,direct_comparator_cohort_family,source_report_metric_comparator_and_panel_verified,"Kim et al. 2021. Study-level record stored in the frozen RevMan 5.4.1 outcome. Frozen numerical inputs were preserved; the report, comparator, metric and source panel were checked without re-digitising or recalculating the model."
META010,Chao1,RPT0001,COH0001,AH,healthy controls,group_mean_sd,"FILE0001, PDF page 18, Extended Data Figure 1b",75,14,yes,-3.812312506494086,0.412545887587726,yes_comparison_metric_and_figure_confirmed,direct_comparator_cohort_family,source_report_metric_comparator_and_panel_verified,"Duan et al. 2019. Study-level record stored in the frozen RevMan 5.4.1 outcome. Frozen numerical inputs were preserved; the report, comparator, metric and source panel were checked without re-digitising or recalculating the model."
