study_label,assessment_tool,selection_score,comparability_score,outcome_score,total_score,quality_grade,coding_provenance
Ganesan et al. 2024,Modified Newcastle–Ottawa Scale,**,-,**,4,Moderate,transcribed from the registered historical assessment
Ciocan et al. 2018,Modified Newcastle–Ottawa Scale,***,**,**,7,High,transcribed from the registered historical assessment
Eom et al. 2023,Modified Newcastle–Ottawa Scale,**,-,**,4,Moderate,transcribed from the registered historical assessment
Skladany et al. 2024,Modified Newcastle–Ottawa Scale,**,-,**,4,Moderate,transcribed from the registered historical assessment
Lang et al. 2020,Modified Newcastle–Ottawa Scale,***,-,**,5,Moderate,transcribed from the registered historical assessment
Philips et al. 2022a,Modified Newcastle–Ottawa Scale,**,-,**,4,Moderate,transcribed from the registered historical assessment
Philips et al. 2018,Modified Newcastle–Ottawa Scale,**,-,**,4,Moderate,transcribed from the registered historical assessment
Pande et al. 2023,Modified Newcastle–Ottawa Scale,**,-,**,4,Moderate,transcribed from the registered historical assessment
Llopis et al. 2016,Modified Newcastle–Ottawa Scale,****,**,***,9,High,transcribed from the registered historical assessment
Philips et al. 2022b,Modified Newcastle–Ottawa Scale,**,-,**,4,Moderate,transcribed from the registered historical assessment
Philips et al. 2022c,Modified Newcastle–Ottawa Scale,**,-,**,4,Moderate,transcribed from the registered historical assessment
Duan et al. 2019,Modified Newcastle–Ottawa Scale,****,**,***,9,High,transcribed from the registered historical assessment
Philips et al. 2024,Modified Newcastle–Ottawa Scale,**,-,**,4,Moderate,transcribed from the registered historical assessment
Smirnova et al. 2020,Modified Newcastle–Ottawa Scale,****,**,***,9,High,transcribed from the registered historical assessment
Kim et al. 2021,Modified Newcastle–Ottawa Scale,***,*,**,6,Moderate,transcribed from the registered historical assessment
Hasan et al. 2023,Modified Newcastle–Ottawa Scale,**,-,**,4,Moderate,transcribed from the registered historical assessment
Yang et al. 2025,Modified Newcastle–Ottawa Scale,****,*,***,8,High,transcribed from the registered historical assessment
Ciocan et al. 2018b,Modified Newcastle–Ottawa Scale,***,*,**,6,Moderate,transcribed from the registered historical assessment
Muthiah et al. 2022,Modified Newcastle–Ottawa Scale,****,**,***,9,High,transcribed from the registered historical assessment
Duan et al. 2021,Modified Newcastle–Ottawa Scale,**,*,**,5,Moderate,transcribed from the registered historical assessment
Gao et al. 2020,Modified Newcastle–Ottawa Scale,****,**,***,9,High,transcribed from the registered historical assessment
Philips et al. 2017,MINORS (non-comparative),NR,NR,NR,14/16,Source-reported total; grade not assigned,transcribed from the registered historical assessment
