record_id,report_id,family_id,family_state,comparison_id,evidence_tier,source_taxon,source_rank,harmonized_taxon,harmonized_rank,target_taxon,mapping_state,direction,lineage_component,eligibility,source_location
EVM0001,RPT0001,COH0001,cohort_family,direct_AH_healthy_organism_specific,organism_specific_corroboration,Enterococcus faecalis,species,Enterococcus,genus,Enterococcus,exact_current_taxon,increased_in_AH,not_assigned_without_full_source_lineage,eligible,"FILE0001, PDF pages 18-19, Extended Data Figure 1c-d and caption"
EVM0002,RPT0005,COH0001,cohort_family,multigroup_ALD_signature,multigroup_corroboration,Prevotella_copri,species,,,,unresolved_mapping,decreased_in_AH,not_assigned_without_full_source_lineage,unresolved_mapping,"FILE0012, PDF page 5, Figure 1A"
EVM0003,RPT0005,COH0001,cohort_family,multigroup_ALD_signature,multigroup_corroboration,Eubacterium_rectale,species,,,,unresolved_mapping,decreased_in_AH,not_assigned_without_full_source_lineage,unresolved_mapping,"FILE0012, PDF page 5, Figure 1A"
EVM0004,RPT0005,COH0001,cohort_family,multigroup_ALD_signature,multigroup_corroboration,Faecalibacterium_prausnitzii,species,,,,unresolved_mapping,decreased_in_AH,not_assigned_without_full_source_lineage,unresolved_mapping,"FILE0012, PDF page 5, Figure 1A"
EVM0005,RPT0005,COH0001,cohort_family,multigroup_ALD_signature,multigroup_corroboration,Subdoligranulum_unclassified,species,,,,unresolved_mapping,decreased_in_AH,not_assigned_without_full_source_lineage,unresolved_mapping,"FILE0012, PDF page 5, Figure 1A"
EVM0006,RPT0005,COH0001,cohort_family,multigroup_ALD_signature,multigroup_corroboration,Bacteroides_stercoris,species,,,,unresolved_mapping,decreased_in_AH,not_assigned_without_full_source_lineage,unresolved_mapping,"FILE0012, PDF page 5, Figure 1A"
EVM0007,RPT0005,COH0001,cohort_family,multigroup_ALD_signature,multigroup_corroboration,Barnesiella_intestinihominis,species,,,,unresolved_mapping,decreased_in_AH,not_assigned_without_full_source_lineage,unresolved_mapping,"FILE0012, PDF page 5, Figure 1A"
EVM0008,RPT0005,COH0001,cohort_family,multigroup_ALD_signature,multigroup_corroboration,Ruminococcus_bromii,species,,,,unresolved_mapping,not_a_group_direction,not_assigned_without_full_source_lineage,ineligible_source_threshold,"FILE0012, PDF page 5, Figure 1A"
EVM0009,RPT0005,COH0001,cohort_family,multigroup_ALD_signature,multigroup_corroboration,Bifidobacterium_adolescentis,species,,,,unresolved_mapping,not_a_group_direction,not_assigned_without_full_source_lineage,ineligible_source_threshold,"FILE0012, PDF page 5, Figure 1A"
EVM0010,RPT0005,COH0001,cohort_family,multigroup_ALD_signature,multigroup_corroboration,Collinsella_aerofaciens,species,,,,unresolved_mapping,not_a_group_direction,not_assigned_without_full_source_lineage,ineligible_source_threshold,"FILE0012, PDF page 5, Figure 1A"
EVM0011,RPT0005,COH0001,cohort_family,multigroup_ALD_signature,multigroup_corroboration,Ruminococcus_sp_5_1_39BFAA,species,,,,unresolved_mapping,not_a_group_direction,not_assigned_without_full_source_lineage,ineligible_source_threshold,"FILE0012, PDF page 5, Figure 1A"
EVM0012,RPT0005,COH0001,cohort_family,multigroup_ALD_signature,multigroup_corroboration,Ruminococcus_torques,species,,,,unresolved_mapping,not_a_group_direction,not_assigned_without_full_source_lineage,ineligible_source_threshold,"FILE0012, PDF page 5, Figure 1A"
EVM0013,RPT0005,COH0001,cohort_family,multigroup_ALD_signature,multigroup_corroboration,Eubacterium_hallii,species,,,,unresolved_mapping,not_a_group_direction,not_assigned_without_full_source_lineage,ineligible_source_threshold,"FILE0012, PDF page 5, Figure 1A"
EVM0014,RPT0005,COH0001,cohort_family,multigroup_ALD_signature,multigroup_corroboration,Bacteroides_massiliensis,species,,,,unresolved_mapping,not_a_group_direction,not_assigned_without_full_source_lineage,ineligible_source_threshold,"FILE0012, PDF page 5, Figure 1A"
