omitted_family_id,target_taxon,selected_direction,signal_classification,family_count,conflict_family_count,direction_counts_json,policy_hash
COH0003,Bacteroides,,not_retained,1,0,"{""decreased_in_AH"":0,""increased_in_AH"":1}",1ce0689651dc53c4cadacb00e43287b120ab03f27904d10dc7e2470a5f9d4dba
COH0003,Desulfovibrio,,not_retained,1,0,"{""decreased_in_AH"":1,""increased_in_AH"":0}",1ce0689651dc53c4cadacb00e43287b120ab03f27904d10dc7e2470a5f9d4dba
COH0003,Dialister,,not_retained,1,0,"{""decreased_in_AH"":1,""increased_in_AH"":0}",1ce0689651dc53c4cadacb00e43287b120ab03f27904d10dc7e2470a5f9d4dba
COH0003,Enterocloster,,not_retained,1,0,"{""decreased_in_AH"":0,""increased_in_AH"":1}",1ce0689651dc53c4cadacb00e43287b120ab03f27904d10dc7e2470a5f9d4dba
COH0003,Gemmiger,,not_retained,1,0,"{""decreased_in_AH"":1,""increased_in_AH"":0}",1ce0689651dc53c4cadacb00e43287b120ab03f27904d10dc7e2470a5f9d4dba
COH0003,Klebsiella,,not_retained,1,0,"{""decreased_in_AH"":0,""increased_in_AH"":1}",1ce0689651dc53c4cadacb00e43287b120ab03f27904d10dc7e2470a5f9d4dba
COH0003,Leyella,,not_retained,1,0,"{""decreased_in_AH"":1,""increased_in_AH"":0}",1ce0689651dc53c4cadacb00e43287b120ab03f27904d10dc7e2470a5f9d4dba
COH0003,Parabacteroides,,not_retained,1,0,"{""decreased_in_AH"":0,""increased_in_AH"":1}",1ce0689651dc53c4cadacb00e43287b120ab03f27904d10dc7e2470a5f9d4dba
COH0003,Phocaeicola,,not_retained,1,0,"{""decreased_in_AH"":1,""increased_in_AH"":0}",1ce0689651dc53c4cadacb00e43287b120ab03f27904d10dc7e2470a5f9d4dba
COH0003,Segatella,,not_retained,1,0,"{""decreased_in_AH"":1,""increased_in_AH"":0}",1ce0689651dc53c4cadacb00e43287b120ab03f27904d10dc7e2470a5f9d4dba
COH0003,Succinivibrio,,not_retained,1,0,"{""decreased_in_AH"":1,""increased_in_AH"":0}",1ce0689651dc53c4cadacb00e43287b120ab03f27904d10dc7e2470a5f9d4dba
COH0003,Sutterella,,not_retained,1,0,"{""decreased_in_AH"":1,""increased_in_AH"":0}",1ce0689651dc53c4cadacb00e43287b120ab03f27904d10dc7e2470a5f9d4dba
COH0003,Veillonella,,not_retained,1,0,"{""decreased_in_AH"":0,""increased_in_AH"":1}",1ce0689651dc53c4cadacb00e43287b120ab03f27904d10dc7e2470a5f9d4dba
COH0003,Victivallis,,not_retained,1,0,"{""decreased_in_AH"":1,""increased_in_AH"":0}",1ce0689651dc53c4cadacb00e43287b120ab03f27904d10dc7e2470a5f9d4dba
COH0004,Alistipes,,not_retained,1,0,"{""decreased_in_AH"":1,""increased_in_AH"":0}",1ce0689651dc53c4cadacb00e43287b120ab03f27904d10dc7e2470a5f9d4dba
COH0004,Dialister,,not_retained,1,0,"{""decreased_in_AH"":1,""increased_in_AH"":0}",1ce0689651dc53c4cadacb00e43287b120ab03f27904d10dc7e2470a5f9d4dba
COH0004,Enterococcus,,not_retained,1,0,"{""decreased_in_AH"":0,""increased_in_AH"":1}",1ce0689651dc53c4cadacb00e43287b120ab03f27904d10dc7e2470a5f9d4dba
COH0004,Oscillibacter,,not_retained,1,0,"{""decreased_in_AH"":1,""increased_in_AH"":0}",1ce0689651dc53c4cadacb00e43287b120ab03f27904d10dc7e2470a5f9d4dba
COH0004,Streptococcus,,not_retained,1,0,"{""decreased_in_AH"":0,""increased_in_AH"":1}",1ce0689651dc53c4cadacb00e43287b120ab03f27904d10dc7e2470a5f9d4dba
COH0004,Veillonella,,not_retained,1,0,"{""decreased_in_AH"":0,""increased_in_AH"":1}",1ce0689651dc53c4cadacb00e43287b120ab03f27904d10dc7e2470a5f9d4dba
