minimum_support,maximum_opposition,target_taxon,selected_direction,signal_classification,family_count,conflict_family_count,direction_counts_json,policy_hash
1,0,Alistipes,decreased_in_AH,retained,1,0,"{""decreased_in_AH"":1,""increased_in_AH"":0}",453b00539729699af48096a4ac0b8862a23deb3c2e17ccc6c2b305fd0d332162
1,0,Bacteroides,increased_in_AH,retained,1,0,"{""decreased_in_AH"":0,""increased_in_AH"":1}",453b00539729699af48096a4ac0b8862a23deb3c2e17ccc6c2b305fd0d332162
1,0,Desulfovibrio,decreased_in_AH,retained,1,0,"{""decreased_in_AH"":1,""increased_in_AH"":0}",453b00539729699af48096a4ac0b8862a23deb3c2e17ccc6c2b305fd0d332162
1,0,Dialister,decreased_in_AH,retained,2,0,"{""decreased_in_AH"":2,""increased_in_AH"":0}",453b00539729699af48096a4ac0b8862a23deb3c2e17ccc6c2b305fd0d332162
1,0,Enterocloster,increased_in_AH,retained,1,0,"{""decreased_in_AH"":0,""increased_in_AH"":1}",453b00539729699af48096a4ac0b8862a23deb3c2e17ccc6c2b305fd0d332162
1,0,Enterococcus,increased_in_AH,retained,1,0,"{""decreased_in_AH"":0,""increased_in_AH"":1}",453b00539729699af48096a4ac0b8862a23deb3c2e17ccc6c2b305fd0d332162
1,0,Gemmiger,decreased_in_AH,retained,1,0,"{""decreased_in_AH"":1,""increased_in_AH"":0}",453b00539729699af48096a4ac0b8862a23deb3c2e17ccc6c2b305fd0d332162
1,0,Klebsiella,increased_in_AH,retained,1,0,"{""decreased_in_AH"":0,""increased_in_AH"":1}",453b00539729699af48096a4ac0b8862a23deb3c2e17ccc6c2b305fd0d332162
1,0,Leyella,decreased_in_AH,retained,1,0,"{""decreased_in_AH"":1,""increased_in_AH"":0}",453b00539729699af48096a4ac0b8862a23deb3c2e17ccc6c2b305fd0d332162
1,0,Oscillibacter,decreased_in_AH,retained,1,0,"{""decreased_in_AH"":1,""increased_in_AH"":0}",453b00539729699af48096a4ac0b8862a23deb3c2e17ccc6c2b305fd0d332162
