omitted_family_id,target_taxon,selected_direction,signal_classification,family_count,conflict_family_count,direction_counts_json,policy_hash
COH0003,Bacteroides,,not_retained,1,0,"{""decreased_in_AH"":0,""increased_in_AH"":1}",3331a2f4589c8482435f881d7d5ccfa4c19abd30867069a77406d0bde51e5d2d
COH0003,Desulfovibrio,,not_retained,1,0,"{""decreased_in_AH"":1,""increased_in_AH"":0}",3331a2f4589c8482435f881d7d5ccfa4c19abd30867069a77406d0bde51e5d2d
COH0003,Dialister,,not_retained,1,0,"{""decreased_in_AH"":1,""increased_in_AH"":0}",3331a2f4589c8482435f881d7d5ccfa4c19abd30867069a77406d0bde51e5d2d
COH0003,Enterocloster,,not_retained,1,0,"{""decreased_in_AH"":0,""increased_in_AH"":1}",3331a2f4589c8482435f881d7d5ccfa4c19abd30867069a77406d0bde51e5d2d
COH0003,Gemmiger,,not_retained,1,0,"{""decreased_in_AH"":1,""increased_in_AH"":0}",3331a2f4589c8482435f881d7d5ccfa4c19abd30867069a77406d0bde51e5d2d
COH0003,Klebsiella,,not_retained,1,0,"{""decreased_in_AH"":0,""increased_in_AH"":1}",3331a2f4589c8482435f881d7d5ccfa4c19abd30867069a77406d0bde51e5d2d
COH0003,Leyella,,not_retained,1,0,"{""decreased_in_AH"":1,""increased_in_AH"":0}",3331a2f4589c8482435f881d7d5ccfa4c19abd30867069a77406d0bde51e5d2d
COH0003,Parabacteroides,,not_retained,1,0,"{""decreased_in_AH"":0,""increased_in_AH"":1}",3331a2f4589c8482435f881d7d5ccfa4c19abd30867069a77406d0bde51e5d2d
COH0003,Phocaeicola,,not_retained,1,0,"{""decreased_in_AH"":1,""increased_in_AH"":0}",3331a2f4589c8482435f881d7d5ccfa4c19abd30867069a77406d0bde51e5d2d
COH0003,Segatella,,not_retained,1,0,"{""decreased_in_AH"":1,""increased_in_AH"":0}",3331a2f4589c8482435f881d7d5ccfa4c19abd30867069a77406d0bde51e5d2d
COH0003,Succinivibrio,,not_retained,1,0,"{""decreased_in_AH"":1,""increased_in_AH"":0}",3331a2f4589c8482435f881d7d5ccfa4c19abd30867069a77406d0bde51e5d2d
COH0003,Sutterella,,not_retained,1,0,"{""decreased_in_AH"":1,""increased_in_AH"":0}",3331a2f4589c8482435f881d7d5ccfa4c19abd30867069a77406d0bde51e5d2d
COH0003,Veillonella,,not_retained,1,0,"{""decreased_in_AH"":0,""increased_in_AH"":1}",3331a2f4589c8482435f881d7d5ccfa4c19abd30867069a77406d0bde51e5d2d
COH0003,Victivallis,,not_retained,1,0,"{""decreased_in_AH"":1,""increased_in_AH"":0}",3331a2f4589c8482435f881d7d5ccfa4c19abd30867069a77406d0bde51e5d2d
COH0004,Alistipes,,not_retained,1,0,"{""decreased_in_AH"":1,""increased_in_AH"":0}",3331a2f4589c8482435f881d7d5ccfa4c19abd30867069a77406d0bde51e5d2d
COH0004,Dialister,,not_retained,1,0,"{""decreased_in_AH"":1,""increased_in_AH"":0}",3331a2f4589c8482435f881d7d5ccfa4c19abd30867069a77406d0bde51e5d2d
COH0004,Enterococcus,,not_retained,1,0,"{""decreased_in_AH"":0,""increased_in_AH"":1}",3331a2f4589c8482435f881d7d5ccfa4c19abd30867069a77406d0bde51e5d2d
COH0004,Oscillibacter,,not_retained,1,0,"{""decreased_in_AH"":1,""increased_in_AH"":0}",3331a2f4589c8482435f881d7d5ccfa4c19abd30867069a77406d0bde51e5d2d
COH0004,Streptococcus,,not_retained,1,0,"{""decreased_in_AH"":0,""increased_in_AH"":1}",3331a2f4589c8482435f881d7d5ccfa4c19abd30867069a77406d0bde51e5d2d
COH0004,Veillonella,,not_retained,1,0,"{""decreased_in_AH"":0,""increased_in_AH"":1}",3331a2f4589c8482435f881d7d5ccfa4c19abd30867069a77406d0bde51e5d2d
