minimum_support,maximum_opposition,target_taxon,selected_direction,signal_classification,family_count,conflict_family_count,direction_counts_json,policy_hash
1,0,Alistipes,decreased_in_AH,retained,1,0,"{""decreased_in_AH"":1,""increased_in_AH"":0}",6b6598a85673b3d60a3bf6df343316de1dd47ca5da8a5bc3a18ab99495f8f1c5
1,0,Bacteroides,increased_in_AH,retained,1,0,"{""decreased_in_AH"":0,""increased_in_AH"":1}",6b6598a85673b3d60a3bf6df343316de1dd47ca5da8a5bc3a18ab99495f8f1c5
1,0,Desulfovibrio,decreased_in_AH,retained,1,0,"{""decreased_in_AH"":1,""increased_in_AH"":0}",6b6598a85673b3d60a3bf6df343316de1dd47ca5da8a5bc3a18ab99495f8f1c5
1,0,Dialister,decreased_in_AH,retained,2,0,"{""decreased_in_AH"":2,""increased_in_AH"":0}",6b6598a85673b3d60a3bf6df343316de1dd47ca5da8a5bc3a18ab99495f8f1c5
1,0,Enterocloster,increased_in_AH,retained,1,0,"{""decreased_in_AH"":0,""increased_in_AH"":1}",6b6598a85673b3d60a3bf6df343316de1dd47ca5da8a5bc3a18ab99495f8f1c5
1,0,Enterococcus,increased_in_AH,retained,1,0,"{""decreased_in_AH"":0,""increased_in_AH"":1}",6b6598a85673b3d60a3bf6df343316de1dd47ca5da8a5bc3a18ab99495f8f1c5
1,0,Gemmiger,decreased_in_AH,retained,1,0,"{""decreased_in_AH"":1,""increased_in_AH"":0}",6b6598a85673b3d60a3bf6df343316de1dd47ca5da8a5bc3a18ab99495f8f1c5
1,0,Klebsiella,increased_in_AH,retained,1,0,"{""decreased_in_AH"":0,""increased_in_AH"":1}",6b6598a85673b3d60a3bf6df343316de1dd47ca5da8a5bc3a18ab99495f8f1c5
1,0,Leyella,decreased_in_AH,retained,1,0,"{""decreased_in_AH"":1,""increased_in_AH"":0}",6b6598a85673b3d60a3bf6df343316de1dd47ca5da8a5bc3a18ab99495f8f1c5
1,0,Oscillibacter,decreased_in_AH,retained,1,0,"{""decreased_in_AH"":1,""increased_in_AH"":0}",6b6598a85673b3d60a3bf6df343316de1dd47ca5da8a5bc3a18ab99495f8f1c5
1,0,Parabacteroides,increased_in_AH,retained,1,0,"{""decreased_in_AH"":0,""increased_in_AH"":1}",6b6598a85673b3d60a3bf6df343316de1dd47ca5da8a5bc3a18ab99495f8f1c5
1,0,Phocaeicola,decreased_in_AH,retained,1,0,"{""decreased_in_AH"":1,""increased_in_AH"":0}",6b6598a85673b3d60a3bf6df343316de1dd47ca5da8a5bc3a18ab99495f8f1c5
1,0,Segatella,decreased_in_AH,retained,1,0,"{""decreased_in_AH"":1,""increased_in_AH"":0}",6b6598a85673b3d60a3bf6df343316de1dd47ca5da8a5bc3a18ab99495f8f1c5
1,0,Streptococcus,increased_in_AH,retained,1,0,"{""decreased_in_AH"":0,""increased_in_AH"":1}",6b6598a85673b3d60a3bf6df343316de1dd47ca5da8a5bc3a18ab99495f8f1c5
1,0,Succinivibrio,decreased_in_AH,retained,1,0,"{""decreased_in_AH"":1,""increased_in_AH"":0}",6b6598a85673b3d60a3bf6df343316de1dd47ca5da8a5bc3a18ab99495f8f1c5
1,0,Sutterella,decreased_in_AH,retained,1,0,"{""decreased_in_AH"":1,""increased_in_AH"":0}",6b6598a85673b3d60a3bf6df343316de1dd47ca5da8a5bc3a18ab99495f8f1c5
1,0,Veillonella,increased_in_AH,retained,2,0,"{""decreased_in_AH"":0,""increased_in_AH"":2}",6b6598a85673b3d60a3bf6df343316de1dd47ca5da8a5bc3a18ab99495f8f1c5
1,0,Victivallis,decreased_in_AH,retained,1,0,"{""decreased_in_AH"":1,""increased_in_AH"":0}",6b6598a85673b3d60a3bf6df343316de1dd47ca5da8a5bc3a18ab99495f8f1c5
1,1,Alistipes,decreased_in_AH,retained,1,0,"{""decreased_in_AH"":1,""increased_in_AH"":0}",3bda934336bbe455cb635e0cac1754f252dec9dd389922e1544a192e25e57e67
1,1,Bacteroides,increased_in_AH,retained,1,0,"{""decreased_in_AH"":0,""increased_in_AH"":1}",3bda934336bbe455cb635e0cac1754f252dec9dd389922e1544a192e25e57e67
1,1,Desulfovibrio,decreased_in_AH,retained,1,0,"{""decreased_in_AH"":1,""increased_in_AH"":0}",3bda934336bbe455cb635e0cac1754f252dec9dd389922e1544a192e25e57e67
1,1,Dialister,decreased_in_AH,retained,2,0,"{""decreased_in_AH"":2,""increased_in_AH"":0}",3bda934336bbe455cb635e0cac1754f252dec9dd389922e1544a192e25e57e67
1,1,Enterocloster,increased_in_AH,retained,1,0,"{""decreased_in_AH"":0,""increased_in_AH"":1}",3bda934336bbe455cb635e0cac1754f252dec9dd389922e1544a192e25e57e67
1,1,Enterococcus,increased_in_AH,retained,1,0,"{""decreased_in_AH"":0,""increased_in_AH"":1}",3bda934336bbe455cb635e0cac1754f252dec9dd389922e1544a192e25e57e67
