model_id,outcome,source_outcome,report_id,cohort_id,study_label,smd,standard_error,study_ci_low,study_ci_high,random_effect_weight_pct,reported_case_n,reported_comparator_n,source_location,numerical_provenance
AH-ALPHA-01-PRIMARY,Shannon,Shannon,RPT0001,COH0001,Duan et al. 2019,-2.3101109093470016,0.34078086679650654,-2.978029134888496,-1.6421926838055072,19.90168522206331,75,14,"FILE0001, PDF page 18, Extended Data Figure 1b",Group summaries were digitised from the cited source figure with WebPlotDigitizer 4.6 for the registered review; this analysis uses the full-precision SMD and standard error without a new digitisation pass.
AH-ALPHA-01-PRIMARY,Shannon,Shannon,RPT0015,COH0005,Eom et al. 2023,-0.4831198372895665,0.2034233625709093,-0.8818223015425819,-0.084417373036551,22.491754125725283,61,42,"FILE0032, PDF page 6, Figure 2e",Group summaries were digitised from the cited source figure with WebPlotDigitizer 4.6 for the registered review; this analysis uses the full-precision SMD and standard error without a new digitisation pass.
AH-ALPHA-01-PRIMARY,Shannon,Shannon,RPT0008,COH0004,Hasan et al. 2023,0.15819107751343994,0.5008891247134624,-0.8235335671727377,1.1399157221996177,16.48034957880222,12,6,"FILE0022, PDF page 4, Figure 1A-C; FILE0024 supporting PDF",Group summaries were digitised from the cited source figure with WebPlotDigitizer 4.6 for the registered review; this analysis uses the full-precision SMD and standard error without a new digitisation pass.
AH-ALPHA-01-PRIMARY,Shannon,Shannon,RPT0007,COH0003,Kim et al. 2021,-1.1478277160554917,0.31692814113949963,-1.768995458376138,-0.5266599737348454,20.394587023544293,24 enrolled,24 enrolled; frozen model uses 23,"FILE0021, PDF page 5, Figure 2A-B; FILE0014, Supplementary Table 1",Group summaries were digitised from the cited source figure with WebPlotDigitizer 4.6 for the registered review; this analysis uses the full-precision SMD and standard error without a new digitisation pass.
AH-ALPHA-01-PRIMARY,Shannon,Shannon,RPT0004,COH0002,Smirnova et al. 2020,-0.7747895050457017,0.30024260334464065,-1.3632541942257426,-0.18632481586566085,20.731624049864887,24 severe AH,24 healthy controls,"FILE0005, PDF page 8, Figure 2A",Group summaries were digitised from the cited source figure with WebPlotDigitizer 4.6 for the registered review; this analysis uses the full-precision SMD and standard error without a new digitisation pass.
AH-ALPHA-02-PRIMARY,ACE richness,Observed OTUs/ACE,RPT0015,COH0005,Eom et al. 2023,-0.5730110307627845,0.2045977837962851,-0.9740153183202159,-0.17200674320535303,69.3081930644235,61,42,"FILE0032, PDF page 6, Figure 2e",Group summaries were digitised from the cited source figure with WebPlotDigitizer 4.6 for the registered review; this analysis uses the full-precision SMD and standard error without a new digitisation pass.
AH-ALPHA-02-PRIMARY,ACE richness,Observed OTUs/ACE,RPT0007,COH0003,Kim et al. 2021,-0.8989637388748016,0.30745530043463437,-1.5015650545826271,-0.29636242316697625,30.691806935576498,24 enrolled,24 enrolled; frozen model uses 23,"FILE0021, PDF page 5, Figure 2A-B; FILE0014, Supplementary Table 1",Group summaries were digitised from the cited source figure with WebPlotDigitizer 4.6 for the registered review; this analysis uses the full-precision SMD and standard error without a new digitisation pass.
AH-ALPHA-03-PRIMARY,Chao1,Chao1,RPT0001,COH0001,Duan et al. 2019,-3.812312506494086,0.412545887587726,-4.620887588136139,-3.0037374248520337,33.57360845233554,75,14,"FILE0001, PDF page 18, Extended Data Figure 1b",Group summaries were digitised from the cited source figure with WebPlotDigitizer 4.6 for the registered review; this analysis uses the full-precision SMD and standard error without a new digitisation pass.
AH-ALPHA-03-PRIMARY,Chao1,Chao1,RPT0015,COH0005,Eom et al. 2023,-0.5360617502903956,0.20409167454317942,-0.9360740819394975,-0.13604941864129377,34.700715658387004,61,42,"FILE0032, PDF page 6, Figure 2e",Group summaries were digitised from the cited source figure with WebPlotDigitizer 4.6 for the registered review; this analysis uses the full-precision SMD and standard error without a new digitisation pass.
AH-ALPHA-03-PRIMARY,Chao1,Chao1,RPT0008,COH0004,Hasan et al. 2023,-2.0585891886824337,0.6330116506987439,-3.2992692258462206,-0.8179091515186467,31.725675889277454,12,6,"FILE0022, PDF page 4, Figure 1A-C; FILE0024 supporting PDF",Group summaries were digitised from the cited source figure with WebPlotDigitizer 4.6 for the registered review; this analysis uses the full-precision SMD and standard error without a new digitisation pass.
AH-ALPHA-04-PRIMARY,Simpson,Simpson,RPT0001,COH0001,Duan et al. 2019,1.0047390369287406,0.3011576903325112,0.41448081020975214,1.594997263647729,76.58071680976956,75,14,"FILE0001, PDF page 18, Extended Data Figure 1b",Group summaries were digitised from the cited source figure with WebPlotDigitizer 4.6 for the registered review; this analysis uses the full-precision SMD and standard error without a new digitisation pass.
AH-ALPHA-04-PRIMARY,Simpson,Simpson,RPT0008,COH0004,Hasan et al. 2023,1.1444097780875548,0.5445865012394574,0.07703984919154094,2.2117797069835685,23.419283190230445,12,6,"FILE0022, PDF page 4, Figure 1A-C; FILE0024 supporting PDF",Group summaries were digitised from the cited source figure with WebPlotDigitizer 4.6 for the registered review; this analysis uses the full-precision SMD and standard error without a new digitisation pass.
