distinct_estimator_id,configured_cell_count,configured_cells,replicates_checked,within_class_selected_set_differences
MS1_row_unstratified,2,vu_row__taxon_source_label__comparison_ignore;vu_row__taxon_source_label__comparison_separate_votes,1520,0
MS2_report_unstratified,1,vu_report__taxon_source_label__comparison_ignore,1520,0
MS3_report_comparison_votes,1,vu_report__taxon_source_label__comparison_separate_votes,1520,0
MS4_provenance_group_collapsed,4,vu_family__taxon_source_label__comparison_ignore;vu_family__taxon_source_label__comparison_family_state;vu_report__taxon_source_label__comparison_family_state;vu_row__taxon_source_label__comparison_family_state,1520,0
MS5_provenance_group_comparison_votes,1,vu_family__taxon_source_label__comparison_separate_votes,1520,0
MR1_row_unstratified,2,vu_row__taxon_resolved_target__comparison_ignore;vu_row__taxon_resolved_target__comparison_separate_votes,1520,0
MR2_report_unstratified,1,vu_report__taxon_resolved_target__comparison_ignore,1520,0
MR3_report_comparison_votes,1,vu_report__taxon_resolved_target__comparison_separate_votes,1520,0
MR4_provenance_group_collapsed,4,vu_family__taxon_resolved_target__comparison_ignore;vu_family__taxon_resolved_target__comparison_family_state;vu_report__taxon_resolved_target__comparison_family_state;vu_row__taxon_resolved_target__comparison_family_state,1520,0
MR5_provenance_group_comparison_votes,1,vu_family__taxon_resolved_target__comparison_separate_votes,1520,0
