arm,disease_id,disease_label,declared_comparison_count,declared_family_count,directional_source_row_count,voting_row_count,abstention_row_count,evaluable_family_count,validation_warning_count,evaluation_status,target_genus_count,primary_selected_pair_count,primary_selected_pairs,threshold_setting_count
literature,D003093,"Colitis, Ulcerative",7,6,94,65,29,6,0,evaluable,49,2,Alistipes|decreased;Escherichia|increased,36
literature,D003424,Crohn Disease,10,9,75,65,10,9,0,evaluable,37,4,Blautia|decreased;Clostridium|decreased;Faecalibacterium|decreased;Lactobacillus|increased,81
literature,D003922,"Diabetes Mellitus, Type 1",4,4,21,15,6,4,0,evaluable,13,2,Acidaminococcus|decreased;Bacteroides|increased,16
literature,D003924,"Diabetes Mellitus, Type 2",6,5,60,25,35,5,0,evaluable,21,1,Megamonas|increased,25
literature,D004485,Eczema,3,3,68,60,8,3,0,evaluable,47,2,Bifidobacterium|decreased;Parabacteroides|increased,9
literature,D009103,Multiple Sclerosis,4,3,24,15,9,3,0,evaluable,10,1,Faecalibacterium|decreased,9
literature,D009765,Obesity,4,4,38,23,15,4,0,evaluable,19,2,Bacteroides|decreased;Faecalibacterium|decreased,16
literature,D010300,Parkinson Disease,4,4,37,35,2,4,0,evaluable,21,4,Bacteroides|decreased;Blautia|decreased;Faecalibacterium|decreased;Lactobacillus|increased,16
literature,D015179,Colorectal Neoplasms,9,9,74,60,14,9,0,evaluable,40,7,Clostridium|increased;Fusobacterium|increased;Lactobacillus|increased;Parvimonas|increased;Peptostreptococcus|increased;Porphyromonas|increased;Ruminococcus|increased,81
literature,D015209,"Cholangitis, Sclerosing",3,3,7,7,0,3,0,evaluable,5,1,Veillonella|increased,9
literature,D043183,Irritable Bowel Syndrome,3,3,25,16,9,3,0,evaluable,15,1,Lactobacillus|increased,9
literature,D065626,Non-alcoholic Fatty Liver Disease,3,3,17,13,4,3,0,evaluable,12,1,Blautia|increased,9
rawdata,D003093,"Colitis, Ulcerative",4,4,237,108,129,4,0,evaluable,52,14,Butyricicoccus|decreased;Clostridium|increased;Coprococcus|decreased;Faecalibacterium|decreased;Lachnospira|decreased;Phascolarctobacterium|decreased;Phocaeicola|decreased;Roseburia|decreased;Ruminococcus|decreased;Senegalimassilia|decreased;Streptococcus|increased;Subdoligranulum|decreased;Sutterella|decreased;Tyzzerella|decreased,16
rawdata,D003324,Coronary Artery Disease,3,3,178,76,102,3,0,evaluable,44,5,Bifidobacterium|increased;Blautia|decreased;Dialister|increased;Limosilactobacillus|increased;Streptococcus|increased,9
rawdata,D003424,Crohn Disease,3,3,618,241,377,3,0,evaluable,86,32,Bacteroides|decreased;Barnesiella|decreased;Blautia|increased;Catenibacterium|decreased;Clostridium|decreased;Collinsella|decreased;Coprococcus|decreased;Dorea|decreased;Eggerthella|increased;Eisenbergiella|increased;Enterococcus|increased;Faecalibacterium|decreased;Faecalitalea|increased;Holdemanella|decreased;Lachnoclostridium|increased;Marvinbryantia|decreased;Megamonas|decreased;Parabacteroides|decreased;Paraprevotella|decreased;Phascolarctobacterium|decreased;Phocaeicola|decreased;Prevotella|decreased;Romboutsia|decreased;Roseburia|decreased;Ruminococcus|decreased;Sellimonas|increased;Senegalimassilia|decreased;Streptococcus|increased;Subdoligranulum|decreased;Sutterella|decreased;Thomasclavelia|increased;Veillonella|increased,9
rawdata,D010300,Parkinson Disease,5,5,712,290,422,5,0,evaluable,108,33,Agathobacter|decreased;Akkermansia|increased;Anaerostipes|decreased;Bifidobacterium|increased;Blautia|decreased;Butyricicoccus|decreased;Cloacibacillus|increased;Clostridium|decreased;Coprococcus|decreased;Desulfovibrio|increased;Dialister|decreased;Dorea|decreased;Enterococcus|increased;Eubacterium|increased;Faecalibacterium|decreased;Flavonifractor|increased;Frisingicoccus|increased;Fusicatenibacter|decreased;Haemophilus|decreased;Holdemanella|decreased;Intestinimonas|increased;Lachnospira|decreased;Limosilactobacillus|increased;Mogibacterium|increased;Monoglobus|decreased;Oscillibacter|increased;Parabacteroides|increased;Prevotella|decreased;Roseburia|decreased;Ruminococcus|decreased;Subdoligranulum|decreased;Terrisporobacter|increased;Thomasclavelia|increased,25
rawdata,D015179,Colorectal Neoplasms,3,3,187,123,64,2,0,non_evaluable_below_three_units,0,0,,0
