omitted_family_id,target_taxon,selected_direction,signal_classification,family_count,conflict_family_count,direction_counts_json,policy_hash
HCC-F01,Acidaminococcus,,not_retained,1,0,"{""decreased_in_hcc"":1,""increased_in_hcc"":0}",be83edd85173b80836df62177bba3ecc92f880b000f8df3289132f8dda567090
HCC-F01,Actinomyces,,not_retained,1,0,"{""decreased_in_hcc"":0,""increased_in_hcc"":1}",be83edd85173b80836df62177bba3ecc92f880b000f8df3289132f8dda567090
HCC-F01,Anaerostipes,,not_retained,1,0,"{""decreased_in_hcc"":1,""increased_in_hcc"":0}",be83edd85173b80836df62177bba3ecc92f880b000f8df3289132f8dda567090
HCC-F01,Anaerotruncus,,not_retained,1,0,"{""decreased_in_hcc"":1,""increased_in_hcc"":0}",be83edd85173b80836df62177bba3ecc92f880b000f8df3289132f8dda567090
HCC-F01,Atopobium,,not_retained,1,0,"{""decreased_in_hcc"":0,""increased_in_hcc"":1}",be83edd85173b80836df62177bba3ecc92f880b000f8df3289132f8dda567090
HCC-F01,Blautia,,not_retained,1,0,"{""decreased_in_hcc"":0,""increased_in_hcc"":1}",be83edd85173b80836df62177bba3ecc92f880b000f8df3289132f8dda567090
HCC-F01,Butyricimonas,,not_retained,1,0,"{""decreased_in_hcc"":1,""increased_in_hcc"":0}",be83edd85173b80836df62177bba3ecc92f880b000f8df3289132f8dda567090
HCC-F01,Cetobacterium,,not_retained,1,0,"{""decreased_in_hcc"":1,""increased_in_hcc"":0}",be83edd85173b80836df62177bba3ecc92f880b000f8df3289132f8dda567090
HCC-F01,Cloacibacillus,,not_retained,1,0,"{""decreased_in_hcc"":1,""increased_in_hcc"":0}",be83edd85173b80836df62177bba3ecc92f880b000f8df3289132f8dda567090
HCC-F01,Coprobacillus,,not_retained,1,0,"{""decreased_in_hcc"":1,""increased_in_hcc"":0}",be83edd85173b80836df62177bba3ecc92f880b000f8df3289132f8dda567090
HCC-F01,Desulfococcus,,not_retained,1,0,"{""decreased_in_hcc"":0,""increased_in_hcc"":1}",be83edd85173b80836df62177bba3ecc92f880b000f8df3289132f8dda567090
HCC-F01,Enterobacter,,not_retained,1,0,"{""decreased_in_hcc"":0,""increased_in_hcc"":1}",be83edd85173b80836df62177bba3ecc92f880b000f8df3289132f8dda567090
HCC-F01,Haemophilus,,not_retained,1,0,"{""decreased_in_hcc"":0,""increased_in_hcc"":1}",be83edd85173b80836df62177bba3ecc92f880b000f8df3289132f8dda567090
