minimum_support,maximum_opposition,target_taxon,selected_direction,signal_classification,family_count,conflict_family_count,direction_counts_json,policy_hash
1,0,Acidaminococcus,decreased_in_hcc,retained,1,0,"{""decreased_in_hcc"":1,""increased_in_hcc"":0}",1511b2b48c8c940f3f6ded8e746b4d3cbbe5bbf05237375ccd219aae72cba364
1,0,Acinetobacter,increased_in_hcc,retained,1,0,"{""decreased_in_hcc"":0,""increased_in_hcc"":1}",1511b2b48c8c940f3f6ded8e746b4d3cbbe5bbf05237375ccd219aae72cba364
1,0,Actinomyces,increased_in_hcc,retained,1,0,"{""decreased_in_hcc"":0,""increased_in_hcc"":1}",1511b2b48c8c940f3f6ded8e746b4d3cbbe5bbf05237375ccd219aae72cba364
1,0,Alloprevotella,decreased_in_hcc,retained,1,0,"{""decreased_in_hcc"":1,""increased_in_hcc"":0}",1511b2b48c8c940f3f6ded8e746b4d3cbbe5bbf05237375ccd219aae72cba364
1,0,Anaerostipes,decreased_in_hcc,retained,1,0,"{""decreased_in_hcc"":1,""increased_in_hcc"":0}",1511b2b48c8c940f3f6ded8e746b4d3cbbe5bbf05237375ccd219aae72cba364
1,0,Anaerotruncus,,not_retained,2,0,"{""decreased_in_hcc"":1,""increased_in_hcc"":1}",1511b2b48c8c940f3f6ded8e746b4d3cbbe5bbf05237375ccd219aae72cba364
1,0,Atopobium,increased_in_hcc,retained,1,0,"{""decreased_in_hcc"":0,""increased_in_hcc"":1}",1511b2b48c8c940f3f6ded8e746b4d3cbbe5bbf05237375ccd219aae72cba364
1,0,Blautia,increased_in_hcc,retained,2,0,"{""decreased_in_hcc"":0,""increased_in_hcc"":2}",1511b2b48c8c940f3f6ded8e746b4d3cbbe5bbf05237375ccd219aae72cba364
1,0,Butyricimonas,decreased_in_hcc,retained,1,0,"{""decreased_in_hcc"":1,""increased_in_hcc"":0}",1511b2b48c8c940f3f6ded8e746b4d3cbbe5bbf05237375ccd219aae72cba364
1,0,Cetobacterium,decreased_in_hcc,retained,1,0,"{""decreased_in_hcc"":1,""increased_in_hcc"":0}",1511b2b48c8c940f3f6ded8e746b4d3cbbe5bbf05237375ccd219aae72cba364
