record_id,report_id,family_id,family_state,comparison_id,evidence_tier,source_taxon,source_rank,harmonized_taxon,harmonized_rank,target_taxon,mapping_state,direction,lineage_component,eligibility,source_location,source_comparison_label,source_criterion,extraction_note
HCC-EV0001,HCC-R01,HCC-F01,cohort_family,non_hbv_hcc_vs_healthy,direct_hcc_healthy,Megamonas,genus,Megamonas,genus,Megamonas,exact_genus_label,decreased_in_hcc,Megamonas,eligible,Liu_2019_HBV_HCC.pdf:article_page_6:Figure_3_and_Results,NBNC-HCC versus healthy controls,Wilcoxon rank-sum P<0.05 as stated for Figure 3,
HCC-EV0002,HCC-R01,HCC-F01,cohort_family,non_hbv_hcc_vs_healthy,direct_hcc_healthy,Lachnospira,genus,Lachnospira,genus,Lachnospira,exact_genus_label,decreased_in_hcc,Lachnospira,eligible,Liu_2019_HBV_HCC.pdf:article_page_6:Figure_3_and_Results,NBNC-HCC versus healthy controls,Wilcoxon rank-sum P<0.05 as stated for Figure 3,
HCC-EV0003,HCC-R01,HCC-F01,cohort_family,non_hbv_hcc_vs_healthy,direct_hcc_healthy,Eubacterium ventriosum group,genus,Eubacterium ventriosum group,genus,Eubacterium ventriosum group,exact_genus_label,decreased_in_hcc,Eubacterium ventriosum group,eligible,Liu_2019_HBV_HCC.pdf:article_page_6:Figure_3_and_Results,NBNC-HCC versus healthy controls,Wilcoxon rank-sum P<0.05 as stated for Figure 3,
HCC-EV0004,HCC-R01,HCC-F01,cohort_family,non_hbv_hcc_vs_healthy,direct_hcc_healthy,Lachnospiraceae UCG-001,genus,Lachnospiraceae UCG-001,genus,Lachnospiraceae UCG-001,exact_genus_label,decreased_in_hcc,Lachnospiraceae UCG-001,eligible,Liu_2019_HBV_HCC.pdf:article_page_6:Figure_3_and_Results,NBNC-HCC versus healthy controls,Wilcoxon rank-sum P<0.05 as stated for Figure 3,
HCC-EV0005,HCC-R01,HCC-F01,cohort_family,hbv_hcc_vs_healthy,direct_hcc_healthy,Prevotella,genus,Prevotella,genus,Prevotella,exact_genus_label,increased_in_hcc,Prevotella,eligible,Liu_2019_HBV_HCC.pdf:article_page_6:Figure_3_and_Results,B-HCC versus healthy controls,Wilcoxon rank-sum P<0.05 as stated for Figure 3,
HCC-EV0006,HCC-R01,HCC-F01,cohort_family,hbv_hcc_vs_healthy,direct_hcc_healthy,Phascolarctobacterium,genus,Phascolarctobacterium,genus,Phascolarctobacterium,exact_genus_label,increased_in_hcc,Phascolarctobacterium,eligible,Liu_2019_HBV_HCC.pdf:article_page_6:Figure_3_and_Results,B-HCC versus healthy controls,Wilcoxon rank-sum P<0.05 as stated for Figure 3,
HCC-EV0007,HCC-R01,HCC-F01,cohort_family,hbv_hcc_vs_healthy,direct_hcc_healthy,Anaerotruncus,genus,Anaerotruncus,genus,Anaerotruncus,exact_genus_label,increased_in_hcc,Anaerotruncus,eligible,Liu_2019_HBV_HCC.pdf:article_page_6:Figure_3_and_Results,B-HCC versus healthy controls,Wilcoxon rank-sum P<0.05 as stated for Figure 3,
HCC-EV0008,HCC-R02,HCC-F01,cohort_family,non_hbv_hcc_vs_healthy,direct_hcc_healthy,Enterococcus,genus,Enterococcus,genus,Enterococcus,exact_genus_label,increased_in_hcc,Enterococcus,eligible,Liu_dataset_reanalysis_2023.pdf:article_pages_4-6:Figure_2B_and_Results,NHBV-HCC versus healthy controls,LEfSe taxa displayed in Figure 2B; genus-level bars only,The source relabels the PRJNA428932 NBNC-HCC subset as NHBV-HCC.
HCC-EV0009,HCC-R02,HCC-F01,cohort_family,non_hbv_hcc_vs_healthy,direct_hcc_healthy,Acinetobacter,genus,Acinetobacter,genus,Acinetobacter,exact_genus_label,increased_in_hcc,Acinetobacter,eligible,Liu_dataset_reanalysis_2023.pdf:article_pages_4-6:Figure_2B_and_Results,NHBV-HCC versus healthy controls,LEfSe taxa displayed in Figure 2B; genus-level bars only,The source relabels the PRJNA428932 NBNC-HCC subset as NHBV-HCC.
HCC-EV0010,HCC-R02,HCC-F01,cohort_family,non_hbv_hcc_vs_healthy,direct_hcc_healthy,Streptococcus,genus,Streptococcus,genus,Streptococcus,exact_genus_label,increased_in_hcc,Streptococcus,eligible,Liu_dataset_reanalysis_2023.pdf:article_pages_4-6:Figure_2B_and_Results,NHBV-HCC versus healthy controls,LEfSe taxa displayed in Figure 2B; genus-level bars only,The source relabels the PRJNA428932 NBNC-HCC subset as NHBV-HCC.
HCC-EV0011,HCC-R02,HCC-F01,cohort_family,non_hbv_hcc_vs_healthy,direct_hcc_healthy,Lactobacillus,genus,Lactobacillus,genus,Lactobacillus,exact_genus_label,increased_in_hcc,Lactobacillus,eligible,Liu_dataset_reanalysis_2023.pdf:article_pages_4-6:Figure_2B_and_Results,NHBV-HCC versus healthy controls,LEfSe taxa displayed in Figure 2B; genus-level bars only,The source relabels the PRJNA428932 NBNC-HCC subset as NHBV-HCC.
HCC-EV0012,HCC-R02,HCC-F01,cohort_family,non_hbv_hcc_vs_healthy,direct_hcc_healthy,Alloprevotella,genus,Alloprevotella,genus,Alloprevotella,exact_genus_label,decreased_in_hcc,Alloprevotella,eligible,Liu_dataset_reanalysis_2023.pdf:article_pages_4-6:Figure_2B_and_Results,NHBV-HCC versus healthy controls,LEfSe taxa displayed in Figure 2B; genus-level bars only,The source relabels the PRJNA428932 NBNC-HCC subset as NHBV-HCC.
HCC-EV0013,HCC-R02,HCC-F01,cohort_family,non_hbv_hcc_vs_healthy,direct_hcc_healthy,Fusobacterium,genus,Fusobacterium,genus,Fusobacterium,exact_genus_label,decreased_in_hcc,Fusobacterium,eligible,Liu_dataset_reanalysis_2023.pdf:article_pages_4-6:Figure_2B_and_Results,NHBV-HCC versus healthy controls,LEfSe taxa displayed in Figure 2B; genus-level bars only,The source relabels the PRJNA428932 NBNC-HCC subset as NHBV-HCC.
HCC-EV0014,HCC-R02,HCC-F01,cohort_family,non_hbv_hcc_vs_healthy,direct_hcc_healthy,Ruminococcus 2,genus,Ruminococcus 2,genus,Ruminococcus 2,exact_genus_label,decreased_in_hcc,Ruminococcus 2,eligible,Liu_dataset_reanalysis_2023.pdf:article_pages_4-6:Figure_2B_and_Results,NHBV-HCC versus healthy controls,LEfSe taxa displayed in Figure 2B; genus-level bars only,The source relabels the PRJNA428932 NBNC-HCC subset as NHBV-HCC.
