disease_id,disease_label,strict_association_row_count,publication_family_count,database_organism_entity_count,evaluation_status,selected_pair_count,selected_pairs,unit_semantics,taxon_semantics
1,Autism,128,11,108,evaluable,9,DBORG:128|decreased;DBORG:137|increased;DBORG:144|increased;DBORG:177|decreased;DBORG:1|increased;DBORG:44|decreased;DBORG:50|increased;DBORG:61|increased;DBORG:6|decreased,publication_id_as_declared_proxy_not_verified_cohort_family,stable_Disbiome_organism_id_without_taxonomic_rank_inference
2,Multiple Sclerosis,101,13,70,evaluable,13,DBORG:132|increased;DBORG:14|decreased;DBORG:1|increased;DBORG:223|increased;DBORG:224|decreased;DBORG:44|decreased;DBORG:53|increased;DBORG:55|decreased;DBORG:64|decreased;DBORG:65|decreased;DBORG:67|increased;DBORG:779|increased;DBORG:80|decreased,publication_id_as_declared_proxy_not_verified_cohort_family,stable_Disbiome_organism_id_without_taxonomic_rank_inference
3,Crohn's Disease,217,26,138,evaluable,29,DBORG:124|decreased;DBORG:125|decreased;DBORG:127|decreased;DBORG:132|decreased;DBORG:134|decreased;DBORG:135|increased;DBORG:139|decreased;DBORG:1413|decreased;DBORG:148|decreased;DBORG:14|decreased;DBORG:188|decreased;DBORG:1|decreased;DBORG:22|decreased;DBORG:36|decreased;DBORG:370|decreased;DBORG:41|increased;DBORG:42|decreased;DBORG:55|decreased;DBORG:58|decreased;DBORG:59|decreased;DBORG:62|increased;DBORG:63|increased;DBORG:64|decreased;DBORG:65|decreased;DBORG:6|decreased;DBORG:74|increased;DBORG:76|decreased;DBORG:80|decreased;DBORG:941|decreased,publication_id_as_declared_proxy_not_verified_cohort_family,stable_Disbiome_organism_id_without_taxonomic_rank_inference
4,Ulcerative Colitis,99,17,77,evaluable,8,DBORG:14|decreased;DBORG:188|decreased;DBORG:217|decreased;DBORG:239|decreased;DBORG:249|increased;DBORG:45|decreased;DBORG:6|decreased;DBORG:74|increased,publication_id_as_declared_proxy_not_verified_cohort_family,stable_Disbiome_organism_id_without_taxonomic_rank_inference
5,Irritable Bowel Syndrome,129,20,95,evaluable,11,DBORG:135|increased;DBORG:219|decreased;DBORG:236|increased;DBORG:286|increased;DBORG:35|increased;DBORG:38|decreased;DBORG:53|decreased;DBORG:61|decreased;DBORG:62|increased;DBORG:65|decreased;DBORG:80|increased,publication_id_as_declared_proxy_not_verified_cohort_family,stable_Disbiome_organism_id_without_taxonomic_rank_inference
6,Cirrhosis,112,11,92,evaluable,11,DBORG:145|decreased;DBORG:219|decreased;DBORG:232|increased;DBORG:321|increased;DBORG:36|increased;DBORG:377|decreased;DBORG:380|increased;DBORG:41|increased;DBORG:44|increased;DBORG:53|increased;DBORG:55|decreased,publication_id_as_declared_proxy_not_verified_cohort_family,stable_Disbiome_organism_id_without_taxonomic_rank_inference
7,Type 2 Diabetes,97,16,79,evaluable,6,DBORG:1|increased;DBORG:239|decreased;DBORG:33|decreased;DBORG:51|increased;DBORG:52|increased;DBORG:6|decreased,publication_id_as_declared_proxy_not_verified_cohort_family,stable_Disbiome_organism_id_without_taxonomic_rank_inference
8,Obesity,181,27,123,evaluable,13,DBORG:124|decreased;DBORG:132|decreased;DBORG:213|decreased;DBORG:237|decreased;DBORG:242|increased;DBORG:348|decreased;DBORG:44|increased;DBORG:453|decreased;DBORG:555|increased;DBORG:55|decreased;DBORG:63|increased;DBORG:67|decreased;DBORG:9|increased,publication_id_as_declared_proxy_not_verified_cohort_family,stable_Disbiome_organism_id_without_taxonomic_rank_inference
10,Short Bowel Syndrome,63,6,51,evaluable,8,DBORG:214|decreased;DBORG:328|decreased;DBORG:330|increased;DBORG:41|increased;DBORG:62|increased;DBORG:65|decreased;DBORG:74|increased;DBORG:77|increased,publication_id_as_declared_proxy_not_verified_cohort_family,stable_Disbiome_organism_id_without_taxonomic_rank_inference
11,Acquired Immunodeficiency Syndrome,22,2,0,non_evaluable_below_three_publications,0,,publication_id_as_declared_proxy_not_verified_cohort_family,stable_Disbiome_organism_id_without_taxonomic_rank_inference
