arm,disease_id,disease_label,method,method_display_name,unit_semantics,taxon_summary_count,vote_count_sum,selected_pair_count,selected_pairs
literature,D003093,"Colitis, Ulcerative",family_without_comparison_taxonomy,family-only source-label counting,rows collapse by declared family and immutable source taxon,53,56,1,Alistipes|decreased
literature,D003093,"Colitis, Ulcerative",provenance_rank_folded,provenance-aware rank-folded aggregation,"family, comparison and frozen target-rank lineage controls are applied",49,53,2,Alistipes|decreased;Escherichia|increased
literature,D003093,"Colitis, Ulcerative",source_era_taxon,family–comparison source-label counting,"rows collapse by family, comparison and immutable source taxon",53,65,9,Alistipes|decreased;Atopobium|decreased;Bacteroides fragilis|decreased;Bacteroides ovatus|decreased;Bacteroides thetaiotaomicron|decreased;Enterococcus|increased;Lactobacillus|increased;Phocaeicola vulgatus|decreased;Veillonella|decreased
literature,D003093,"Colitis, Ulcerative",source_row,source-row counting,each eligible source row is a vote after target-rank mapping,49,65,9,Alistipes|decreased;Atopobium|decreased;Bacteroides|decreased;Blautia|decreased;Enterococcus|increased;Escherichia|increased;Lactobacillus|increased;Phocaeicola|decreased;Veillonella|decreased
literature,D003093,"Colitis, Ulcerative",unique_publication,report/source-document counting,rows collapse by report or source-document key and target taxon,49,53,2,Alistipes|decreased;Escherichia|increased
literature,D003424,Crohn Disease,family_without_comparison_taxonomy,family-only source-label counting,rows collapse by declared family and immutable source taxon,50,57,2,Faecalibacterium prausnitzii|decreased;Lactobacillus|increased
literature,D003424,Crohn Disease,provenance_rank_folded,provenance-aware rank-folded aggregation,"family, comparison and frozen target-rank lineage controls are applied",37,49,4,Blautia|decreased;Clostridium|decreased;Faecalibacterium|decreased;Lactobacillus|increased
literature,D003424,Crohn Disease,source_era_taxon,family–comparison source-label counting,"rows collapse by family, comparison and immutable source taxon",50,65,8,Atopobium|decreased;Bacteroides fragilis|decreased;Bacteroides ovatus|decreased;Enterococcus|increased;Faecalibacterium prausnitzii|decreased;Lactobacillus|increased;Phocaeicola vulgatus|decreased;Veillonella|decreased
literature,D003424,Crohn Disease,source_row,source-row counting,each eligible source row is a vote after target-rank mapping,37,65,13,Alistipes|decreased;Atopobium|decreased;Blautia|decreased;Clostridium|decreased;Enterocloster|decreased;Enterococcus|increased;Faecalibacterium|decreased;Holdemania|decreased;Lactobacillus|increased;Phocaeicola|decreased;Pseudoflavonifractor|decreased;Roseburia|decreased;Veillonella|decreased
literature,D003424,Crohn Disease,unique_publication,report/source-document counting,rows collapse by report or source-document key and target taxon,37,49,4,Blautia|decreased;Clostridium|decreased;Faecalibacterium|decreased;Lactobacillus|increased
literature,D003922,"Diabetes Mellitus, Type 1",family_without_comparison_taxonomy,family-only source-label counting,rows collapse by declared family and immutable source taxon,13,15,2,Acidaminococcus|decreased;Bacteroides|increased
literature,D003922,"Diabetes Mellitus, Type 1",provenance_rank_folded,provenance-aware rank-folded aggregation,"family, comparison and frozen target-rank lineage controls are applied",13,15,2,Acidaminococcus|decreased;Bacteroides|increased
