disease_id,disease_label,genus,rawdata_increased_units,rawdata_decreased_units,rawdata_conflict_units,rawdata_direction_balance,literature_increased_units,literature_decreased_units,literature_conflict_units,literature_direction_balance,sign_agreement_status
D003093,"Colitis, Ulcerative",Actinomyces,1,0,0,1.0,1,0,0,1.0,agree
D003093,"Colitis, Ulcerative",Alistipes,0,1,0,-1.0,0,2,0,-1.0,agree
D003093,"Colitis, Ulcerative",Bifidobacterium,1,1,1,0.0,1,2,0,-0.33333333,excluded_zero_balance
D003093,"Colitis, Ulcerative",Blautia,1,1,0,0.0,0,1,0,-1.0,excluded_zero_balance
D003093,"Colitis, Ulcerative",Clostridium,2,0,0,1.0,0,1,0,-1.0,disagree
D003093,"Colitis, Ulcerative",Collinsella,0,1,0,-1.0,0,1,0,-1.0,agree
D003093,"Colitis, Ulcerative",Coprobacter,0,1,0,-1.0,0,1,0,-1.0,agree
D003093,"Colitis, Ulcerative",Eggerthella,1,0,0,1.0,1,0,0,1.0,agree
D003093,"Colitis, Ulcerative",Enterococcus,1,0,0,1.0,1,0,0,1.0,agree
D003093,"Colitis, Ulcerative",Faecalibacterium,0,3,0,-1.0,0,1,0,-1.0,agree
D003093,"Colitis, Ulcerative",Flavonifractor,1,0,0,1.0,0,1,0,-1.0,disagree
D003093,"Colitis, Ulcerative",Fusobacterium,1,0,0,1.0,1,0,0,1.0,agree
D003093,"Colitis, Ulcerative",Lactobacillus,1,0,0,1.0,1,0,0,1.0,agree
D003093,"Colitis, Ulcerative",Megasphaera,1,0,0,1.0,0,1,0,-1.0,disagree
D003093,"Colitis, Ulcerative",Odoribacter,0,1,0,-1.0,0,1,0,-1.0,agree
D003093,"Colitis, Ulcerative",Paraprevotella,0,1,0,-1.0,0,1,0,-1.0,agree
D003093,"Colitis, Ulcerative",Peptostreptococcus,1,0,0,1.0,1,0,0,1.0,agree
D003093,"Colitis, Ulcerative",Phocaeicola,0,3,0,-1.0,0,1,0,-1.0,agree
D003093,"Colitis, Ulcerative",Prevotella,0,1,0,-1.0,0,1,0,-1.0,agree
D003093,"Colitis, Ulcerative",Subdoligranulum,0,3,0,-1.0,0,1,0,-1.0,agree
D003093,"Colitis, Ulcerative",Thomasclavelia,1,0,0,1.0,1,0,0,1.0,agree
D003424,Crohn Disease,Abiotrophia,1,0,0,1.0,1,0,0,1.0,agree
D003424,Crohn Disease,Actinomyces,1,0,0,1.0,1,0,0,1.0,agree
D003424,Crohn Disease,Alistipes,0,1,1,-1.0,0,1,0,-1.0,agree
D003424,Crohn Disease,Anaerotignum,1,0,0,1.0,0,1,0,-1.0,disagree
D003424,Crohn Disease,Atopobium,1,0,0,1.0,0,1,0,-1.0,disagree
D003424,Crohn Disease,Bacteroides,0,2,0,-1.0,1,2,0,-0.33333333,agree
D003424,Crohn Disease,Bifidobacterium,1,1,0,0.0,4,1,0,0.6,excluded_zero_balance
D003424,Crohn Disease,Blautia,3,0,0,1.0,0,2,0,-1.0,disagree
D003424,Crohn Disease,Butyricicoccus,0,1,1,-1.0,0,1,0,-1.0,agree
D003424,Crohn Disease,Clostridium,0,2,0,-1.0,0,2,0,-1.0,agree
D003424,Crohn Disease,Enterocloster,1,0,0,1.0,0,1,0,-1.0,disagree
D003424,Crohn Disease,Enterococcus,3,0,0,1.0,1,0,0,1.0,agree
D003424,Crohn Disease,Eubacterium,1,0,0,1.0,1,1,0,0.0,excluded_zero_balance
D003424,Crohn Disease,Faecalibacterium,0,3,0,-1.0,0,3,0,-1.0,agree
D003424,Crohn Disease,Flavonifractor,1,0,0,1.0,0,1,0,-1.0,disagree
D003424,Crohn Disease,Lactobacillus,1,0,0,1.0,2,0,0,1.0,agree
D003424,Crohn Disease,Mitsuokella,0,1,0,-1.0,0,1,0,-1.0,agree
D003424,Crohn Disease,Odoribacter,0,1,1,-1.0,1,0,0,1.0,disagree
D003424,Crohn Disease,Parabacteroides,0,2,0,-1.0,0,1,0,-1.0,agree
D003424,Crohn Disease,Phocaeicola,0,2,0,-1.0,0,1,0,-1.0,agree
D003424,Crohn Disease,Prevotella,0,2,0,-1.0,1,0,0,1.0,disagree
D003424,Crohn Disease,Romboutsia,0,2,0,-1.0,0,1,0,-1.0,agree
D003424,Crohn Disease,Roseburia,0,2,0,-1.0,0,1,0,-1.0,agree
D003424,Crohn Disease,Subdoligranulum,0,3,0,-1.0,0,1,0,-1.0,agree
D003424,Crohn Disease,Sutterella,0,2,0,-1.0,1,0,0,1.0,disagree
D003424,Crohn Disease,Veillonella,2,0,0,1.0,0,1,0,-1.0,disagree
D010300,Parkinson Disease,Akkermansia,3,0,0,1.0,1,0,0,1.0,agree
D010300,Parkinson Disease,Bacteroides,1,1,3,0.0,0,2,0,-1.0,excluded_zero_balance
D010300,Parkinson Disease,Bifidobacterium,5,0,0,1.0,1,0,0,1.0,agree
D010300,Parkinson Disease,Blautia,0,2,1,-1.0,0,3,0,-1.0,agree
D010300,Parkinson Disease,Christensenella,1,0,0,1.0,1,0,0,1.0,agree
D010300,Parkinson Disease,Coprococcus,0,4,0,-1.0,0,1,0,-1.0,agree
D010300,Parkinson Disease,Dorea,0,2,0,-1.0,0,1,0,-1.0,agree
D010300,Parkinson Disease,Enterococcus,2,0,0,1.0,1,0,0,1.0,agree
D010300,Parkinson Disease,Faecalibacterium,0,3,0,-1.0,0,3,0,-1.0,agree
D010300,Parkinson Disease,Lactobacillus,2,1,0,0.33333333,2,0,0,1.0,agree
D010300,Parkinson Disease,Limosilactobacillus,4,0,1,1.0,1,0,0,1.0,agree
D010300,Parkinson Disease,Oscillospira,0,1,0,-1.0,1,0,0,1.0,disagree
D010300,Parkinson Disease,Phocaeicola,2,2,0,0.0,0,1,0,-1.0,excluded_zero_balance
D010300,Parkinson Disease,Prevotella,0,3,0,-1.0,0,1,0,-1.0,agree
D010300,Parkinson Disease,Roseburia,0,5,0,-1.0,0,1,0,-1.0,agree
