disease_id,disease_label,minimum_support,maximum_opposition,rawdata_selected_pair_count,literature_selected_pair_count,intersection_count,union_count,Jaccard
D003093,"Colitis, Ulcerative",1,0,48,48,16,80,0.2
D003093,"Colitis, Ulcerative",1,1,48,49,16,81,0.19753086
D003093,"Colitis, Ulcerative",1,2,48,49,16,81,0.19753086
D003093,"Colitis, Ulcerative",1,3,48,49,16,81,0.19753086
D003093,"Colitis, Ulcerative",2,0,14,2,0,16,0.0
D003093,"Colitis, Ulcerative",2,1,14,3,0,17,0.0
D003093,"Colitis, Ulcerative",2,2,14,3,0,17,0.0
D003093,"Colitis, Ulcerative",2,3,14,3,0,17,0.0
D003093,"Colitis, Ulcerative",3,0,4,0,0,4,0.0
D003093,"Colitis, Ulcerative",3,1,4,0,0,4,0.0
D003093,"Colitis, Ulcerative",3,2,4,0,0,4,0.0
D003093,"Colitis, Ulcerative",3,3,4,0,0,4,0.0
D003093,"Colitis, Ulcerative",4,0,0,0,0,0,
D003093,"Colitis, Ulcerative",4,1,0,0,0,0,
D003093,"Colitis, Ulcerative",4,2,0,0,0,0,
D003093,"Colitis, Ulcerative",4,3,0,0,0,0,
D003424,Crohn Disease,1,0,80,34,14,100,0.14
D003424,Crohn Disease,1,1,80,36,15,101,0.14851485
D003424,Crohn Disease,1,2,80,36,15,101,0.14851485
D003424,Crohn Disease,2,0,32,4,2,34,0.05882353
D003424,Crohn Disease,2,1,32,6,3,35,0.08571429
D003424,Crohn Disease,2,2,32,6,3,35,0.08571429
D003424,Crohn Disease,3,0,10,1,1,10,0.1
D003424,Crohn Disease,3,1,10,2,1,11,0.09090909
D003424,Crohn Disease,3,2,10,2,1,11,0.09090909
D010300,Parkinson Disease,1,0,95,21,12,104,0.11538462
D010300,Parkinson Disease,1,1,100,21,14,107,0.13084112
D010300,Parkinson Disease,1,2,101,21,14,108,0.12962963
D010300,Parkinson Disease,1,3,101,21,14,108,0.12962963
D010300,Parkinson Disease,2,0,33,4,2,35,0.05714286
D010300,Parkinson Disease,2,1,38,4,3,39,0.07692308
D010300,Parkinson Disease,2,2,39,4,3,40,0.075
D010300,Parkinson Disease,2,3,39,4,3,40,0.075
D010300,Parkinson Disease,3,0,15,2,1,16,0.0625
D010300,Parkinson Disease,3,1,15,2,1,16,0.0625
D010300,Parkinson Disease,3,2,16,2,1,17,0.05882353
D010300,Parkinson Disease,3,3,16,2,1,17,0.05882353
D010300,Parkinson Disease,4,0,7,0,0,7,0.0
D010300,Parkinson Disease,4,1,7,0,0,7,0.0
D010300,Parkinson Disease,4,2,7,0,0,7,0.0
D010300,Parkinson Disease,4,3,7,0,0,7,0.0
