disease_id,disease_label,organism_entity,selected_direction,publication_family_count,direction_counts_json
1,Autism,DBORG:1,increased,3,"{""decreased"":0,""increased"":3}"
1,Autism,DBORG:128,decreased,2,"{""decreased"":2,""increased"":0}"
1,Autism,DBORG:137,increased,2,"{""decreased"":0,""increased"":2}"
1,Autism,DBORG:144,increased,3,"{""decreased"":0,""increased"":3}"
1,Autism,DBORG:177,decreased,2,"{""decreased"":2,""increased"":0}"
1,Autism,DBORG:44,decreased,2,"{""decreased"":2,""increased"":0}"
1,Autism,DBORG:50,increased,2,"{""decreased"":0,""increased"":2}"
1,Autism,DBORG:6,decreased,2,"{""decreased"":2,""increased"":0}"
1,Autism,DBORG:61,increased,2,"{""decreased"":0,""increased"":2}"
2,Multiple Sclerosis,DBORG:1,increased,2,"{""decreased"":0,""increased"":2}"
2,Multiple Sclerosis,DBORG:132,increased,3,"{""decreased"":0,""increased"":3}"
2,Multiple Sclerosis,DBORG:14,decreased,2,"{""decreased"":2,""increased"":0}"
2,Multiple Sclerosis,DBORG:223,increased,3,"{""decreased"":0,""increased"":3}"
2,Multiple Sclerosis,DBORG:224,decreased,2,"{""decreased"":2,""increased"":0}"
2,Multiple Sclerosis,DBORG:44,decreased,4,"{""decreased"":4,""increased"":0}"
2,Multiple Sclerosis,DBORG:53,increased,4,"{""decreased"":0,""increased"":4}"
2,Multiple Sclerosis,DBORG:55,decreased,3,"{""decreased"":3,""increased"":0}"
2,Multiple Sclerosis,DBORG:64,decreased,2,"{""decreased"":2,""increased"":0}"
2,Multiple Sclerosis,DBORG:65,decreased,3,"{""decreased"":3,""increased"":0}"
2,Multiple Sclerosis,DBORG:67,increased,3,"{""decreased"":0,""increased"":3}"
2,Multiple Sclerosis,DBORG:779,increased,2,"{""decreased"":0,""increased"":2}"
2,Multiple Sclerosis,DBORG:80,decreased,2,"{""decreased"":2,""increased"":0}"
3,Crohn's Disease,DBORG:1,decreased,3,"{""decreased"":3,""increased"":0}"
3,Crohn's Disease,DBORG:124,decreased,2,"{""decreased"":2,""increased"":0}"
3,Crohn's Disease,DBORG:125,decreased,2,"{""decreased"":2,""increased"":0}"
3,Crohn's Disease,DBORG:127,decreased,2,"{""decreased"":2,""increased"":0}"
3,Crohn's Disease,DBORG:132,decreased,5,"{""decreased"":5,""increased"":0}"
3,Crohn's Disease,DBORG:134,decreased,2,"{""decreased"":2,""increased"":0}"
3,Crohn's Disease,DBORG:135,increased,3,"{""decreased"":0,""increased"":3}"
3,Crohn's Disease,DBORG:139,decreased,2,"{""decreased"":2,""increased"":0}"
3,Crohn's Disease,DBORG:14,decreased,5,"{""decreased"":5,""increased"":0}"
3,Crohn's Disease,DBORG:1413,decreased,2,"{""decreased"":2,""increased"":0}"
