arm,disease_id,disease_label,reference_selected_pair_count,omission_count,evaluable_omission_count,non_evaluable_omission_count,survives_all_evaluable_omissions_count,survives_all_evaluable_omissions_pairs,interpretation
literature,D003093,"Colitis, Ulcerative",2,6,6,0,0,,assessable
literature,D003424,Crohn Disease,4,9,9,0,1,Faecalibacterium|decreased,assessable
literature,D003922,"Diabetes Mellitus, Type 1",2,4,4,0,0,,assessable
literature,D003924,"Diabetes Mellitus, Type 2",1,5,5,0,0,,assessable
literature,D004485,Eczema,2,3,0,3,,,not_assessable_all_omissions_below_three_units
literature,D009103,Multiple Sclerosis,1,3,0,3,,,not_assessable_all_omissions_below_three_units
literature,D009765,Obesity,2,4,4,0,2,Bacteroides|decreased;Faecalibacterium|decreased,assessable
literature,D010300,Parkinson Disease,4,4,4,0,2,Blautia|decreased;Faecalibacterium|decreased,assessable
literature,D015179,Colorectal Neoplasms,7,9,9,0,4,Fusobacterium|increased;Peptostreptococcus|increased;Porphyromonas|increased;Ruminococcus|increased,assessable
literature,D015209,"Cholangitis, Sclerosing",1,3,0,3,,,not_assessable_all_omissions_below_three_units
literature,D043183,Irritable Bowel Syndrome,1,3,0,3,,,not_assessable_all_omissions_below_three_units
literature,D065626,Non-alcoholic Fatty Liver Disease,1,3,0,3,,,not_assessable_all_omissions_below_three_units
rawdata,D003093,"Colitis, Ulcerative",14,4,4,0,4,Faecalibacterium|decreased;Phocaeicola|decreased;Roseburia|decreased;Subdoligranulum|decreased,assessable
rawdata,D003324,Coronary Artery Disease,5,3,0,3,,,not_assessable_all_omissions_below_three_units
rawdata,D003424,Crohn Disease,32,3,0,3,,,not_assessable_all_omissions_below_three_units
rawdata,D010300,Parkinson Disease,33,5,5,0,15,Agathobacter|decreased;Akkermansia|increased;Bifidobacterium|increased;Butyricicoccus|decreased;Cloacibacillus|increased;Clostridium|decreased;Coprococcus|decreased;Faecalibacterium|decreased;Fusicatenibacter|decreased;Haemophilus|decreased;Lachnospira|decreased;Limosilactobacillus|increased;Prevotella|decreased;Roseburia|decreased;Ruminococcus|decreased,assessable
